,Restaurant Name,Ratings,Address,Contact Number
168,Hotel Saravana Bhavan,4.1,"Food Court, Select Citywalk Mall, Saket, Delhi - 110017",'+(91)-011-41322929
169,Annapurna Restaurant,3.7,"Shop No-1811, Chandrawal Road, Malka Ganj, Delhi - 110007, Opposite Sethi Bakery",'+(91)-11-23857545
170,Naivedyam Restaurant,4.2,"G-11, Vipul Plaza, Golf Course Road, Suncity, Gurgaon - 122011, Sector 54",'+(91)-0124-4333215
171,Udupi Krishna Restaurant,4.2,"F-45, Kohlapur Road, Kamla Nagar, Delhi - 110007, Near Spark Mall",'+(91)-11-23843264
172,Apni Rasoi,2.9,"E -20/226, 2/3 Dividing Road, Rohini Sector 3, Delhi - 110085, Near Dawar Shoes & Travels",'+(91)-11-47083842
173,Bangla Sweets,4.0,"Shop Number A-2, Najafghar Road, Kirti Nagar, Delhi - 110015, Opposite Metro Pillar No-329",'+(91)-11-25106533
174,Apni Rasoi,4.0,"Shop No- A2., Main Road., Ganesh Nagar, Delhi - 110092, Near D Park.",'+(91)-9711746204
175,Karnataka Restaurant,4.2,"Sco-82-83, Palam Vihar Road, Service Road, Gurgaon Sector 22, Gurgaon - 122015, Upper Dominoz",'+(91)-124-4045451
176,Sagar Ratna,3.8,"5/5 A, Basement, Vasant Kunj, Delhi - 110070, Central Market, Masoodpur, Opposite Basant Squre Mall",'+(91)-011-26899700
177,Swastik Restaurant,3.7,"Shop Number GS 70, Sewak Park, Dwarka More, Delhi - 110059, Near Dwarka More Metro Station",'+(91)-11-65807019
178,Sagar Ratna,3.9,"A-1, First Floor, Mayur Vihar Phase 1, Delhi - 110091, Near Sheetla Mata Mandir, Acharya Niketan, Pandav Nagar",'+(91)-11-22751576
179,Anupam Sweet House31,4.1,"Ch. Hetram Complex , Pills Kothi, Sector 30-31 Dividing Road, Sector 31, Faridabad - 121003",'+(91)-9810796081
180,Pakwan,4.1,"Plot Number 164/11, Old Railway Road, Shivpuri, Gurgaon - 122006, Near Raj Bakery",'+(91)-0124-4051351
181,Kadimi Foods Pvt Ltd,4.0,"Pocket-4, Second Floor, Plot Number-7, Above HDFC Bank, Dwarka Sector 11, Delhi - 110075, Near Kargil Chowk",'+(91)-011-42770202
182,Grover Sweets,4.0,"Plot Number-1, Dwarka More, Delhi - 110059, Near Metro Pillar No - 781,  Diwan Estate, Bhagwati Garden",'+(91)-11-25358272
183,Ramesh Vaishno Dhaba,4.1,"House Number 11, Shivpuri-chandar Nagar, Delhi - 110051, Near Dominos Pizza",'+(91)-9873778861
184,Veg Gulati,4.2,"Shop Number 8, Near By India Gate, Pandara Road, Delhi - 110003, Opposite Bikaner House, Near India Gate",'+(91)-11-23388830
185,Sattvik Restaurant,4.1,"S- 05, Second Floor, Select City Walk Mall, Saket, Delhi - 110017, A3 District Centre",'+(91)-11-40599913
186,Sagar Ratna,3.9,"Fd-02, Upper Ground Floor, Pitampura, Delhi - 110034, Near Metro Station Gate Number-3, Madhuban Chowk",'+(91)-11-47070215
187,Kake Di Hatti,3.8,"Shop Number-G 20, Vijay Nagar, Delhi - 110009, Near NDPL Office",'+(91)-011-47321080
188,The Karnataka,4.0,"A- 89 & 90, Ignou Road, Neb Sarai, Delhi - 110068, Near Freedom Fighter Colony, Near Sainik Farm",'+(91)-11-29531641
189,Dilli Darbar Food Pvt Ltd,4.1,"No C 448, Main 100 Feet Road, Shahdara, Delhi - 110032, Opposite Rajiv Raj Bajaj Showroom",'+(91)-9210161500
190,Govindas Restaurant,4.2,"Iskcon Temple Complex, Sant Nagar Main Road, East Of Kailash, Delhi - 110065, Near",'+(91)-11-41094042
191,Wah Ji Wah Restaurant,4.0,"Shop No 142, Rohini Sector 24, Delhi - 110085, Near Canara Bank Pocket 26",'+(91)-9205200205
192,Mohan Dhaba,3.9,"Plot No -629, Main Road, Vaishali Sector 5, Ghaziabad - 201010, Near Ramprastha Greens",'+(91)-9910252976
193,Shudh Restaurant,4.0,"17 A/32, Gurudwara Road, Karol Bagh, Delhi - 110005, Opposite Jessa Ram Hospital",'+(91)-11-45000355
194,Imly Courtyard,3.8,"B1/1, Ashok Vihar 1, Delhi - 110052, Near Satyawati Collage",'+(91)-8510900070
195,A2B Veg Restaurant,4.0,"S 18, Green Park, Delhi - 110016, Main Market",'+(91)-11-26532691
196,Simply South,4.0,"Shop Number-1, Jagat Farm, Gamma 1-Greater Noida, Noida - 201310, Near Gamma-1,Jagat Farm",'+(91)-0120-6692259
197,Chatore.e.e A Pure Vegetari..,3.9,"G-7, Vardhman Century Plaza, GU Block, Pitampura, Delhi - 110034, Near Maharaja Aggrasain Public School",'+(91)-9873375007
198,Shubham Restaurant,3.5,"A-4, Main Mandoli Road, Mandoli Saboli, Delhi - 110093, Near Nathu Colony Chowk",'+(91)-11-22139000
199,Mysore Cafe,4.1,"Shop No-12, Defence Headquarter, Delhi - 110011, South Avenue Market",'+(91)-11-23013750
200,Bhaja Govindam Restaurant,4.2,"Delite Cinema Building Number-4/1,Ground Floor,Delite Cinema, Delite Cinema Building Asaf Ali Road, Asaf Ali Road, Delhi - 110002, Opposite Gb Pant Hospital",'+(91)-11-40634721
201,Dharma Vaishno Dhaba,3.8,"Mathura Road HIGHWAY, Faridabad Sector 12, Faridabad - 121007, Near City Mall",'+(91)-129-2280101
202,Smelling Salts,4.1,"C-2/13, Phase 2, Ashok Vihar 2, Delhi - 110052, Near Bata Showroom",'+(91)-11-47775012
203,Sagar Ratna Restaurant,3.9,"101, 1st Floor, Plot Number-22, Bazaar Marg, Old Rajender Nagar, Delhi - 110060, Above Dominos Pizza, Near Metro Pillar No111",'+(91)-11-42473769
204,Wah Ji Wah Restaurant,4.0,"Shop No G 3, Sachdeva Plaza, Mayur Vihar Phase 2, Delhi - 110091, Near Neelam Mata Mandir",'+(91)-8527746288
205,Wah Bhai Wah Restaurant,3.8,"A-1/168-169, Main Road, Rohini Sector 4, Delhi - 110085, Near Saint Giri School",'+(91)-9250179212
206,Eleven To Eleven Restaurant,4.0,"R- 1, 3rd Floor,Cross River Mall, Karkardooma, Delhi - 110092, Near Karkardooma Court",'+(91)-011-42111856
207,M Dosa Express,4.1,"E-56, Jail Road, Delhi - 110058, Opposite Fateh Nagar Gurudwara",'+(91)-9990111058
208,Seasonings The Spice Myster..,4.1,"B 1/6, Ground Floor, Chaudhary Gulab Singh Marg, Ashok Vihar 2, Delhi - 110052, Near Satyawati College",'+(91)-11-45613555
209,Bunty Dhaba,3.9,"G8, Aditya Corporate Plaza, Karkardooma, Delhi - 110092, Near Community Centre",'+(91)-11-22376270
210,Bunty Dhaba,3.9,"G-8,Aditya corporate plaza community center, Main road, Karkardooma, Delhi - 110092, Near Karkardooma Metro Station,Dayanand Vihar",'+(91)-011-22371518
211,Vaishno Punjabi Dhabha,4.2,"E 16/289, Rohini Sector 8, Delhi - 110085, Near M2k Rohini",'+(91)-11-32559590
212,Carnatic Cafe,4.4,"M-21, Greater Kailash 2, Delhi - 110048, M Block Market",'+(91)-11-41708631
213,Mainis Green Leaf,4.2,"Shop No-3, Ground Floor, Kaushambi Metro Station Building, Kaushambi, Ghaziabad - 201012",'+(91)-120-2773100
214,Raj Bhog Food India,3.9,"12 Inder Enclave, Main Rohtak Road, Inder Enclave, Delhi - 110087, , Opposite Udyog Nagar and Near Metro Pillar No-311",'+(91)-7428750009
215,Honeys Veg,4.0,"Shop No.105, On Road, Dr Mukherjee Nagar, Delhi - 110009, Bhai Parmanand Colony, Near Batra Cinema",'+(91)-7999799911
216,Darbar Restaurant,4.1,"8956, Pahar Ganj, Delhi - 110055, Opposite Bikaner Sweets, Chowk Multani Dhanda",'+(91)-11-23547777
217,Ashirwad Restaurant,4.1,"Sco-18-19-20, Faridabad Sector 16, Faridabad - 121002, Near Laxmi Narayan Mandir",'+(91)-0129-2261222
218,Dilli Light Chur Chur Naan,3.9,"Sco 40, Gurgaon Sector 31, Gurgaon - 122001, Near Om Sweets, Huda Market",'+(91)-0124-4833348
219,Rajbhog Restaurant,3.9,"21-A, Main 40 Feet Road, Jain Nagar, Delhi - 110081, Opposite Rohini Sector 22",'+(91)-011-66103607
220,Pummy Paradise Restaurant P..,3.5,"14 A, Pocket I, Dilshad Garden, Delhi - 110095, Opposite Pummy Sweets, Pocket I",'+(91)-11-33106262
221,Sagar Ratna,3.9,"Shop Number B1/H9, Mathura Road, Delhi - 110044, Near Haldirams",'+(91)-11-41040435
222,Udupi Cafe,4.1,"5, Pratap Bhawan, Bahadur Shah Zafar Marg, Ito, Delhi - 110002",'+(91)-11-23353666
223,Bite Bikaner,3.9,"Shop Number-C-1/1, Janakpuri, Delhi - 110058, Opposite Mata Chandan Devi Hospital",'+(91)-11-41574670
224,Sukhsagar Vaishno Hotel,3.9,"Bilaspur Gurgaon, Gurgaon - 122413, Near Bilaspur Chowk, National HIghway 8 .old Bharat Ptrol Pump",'+(91)-9991887686
225,Dau Ji Sweets And Restauran..,3.8,"Shop Number 19-20, Roshan Lal Plaza, Noida Sector 2, Noida - 201301, Near Yatharth Hospital",'+(91)-9818848530
226,Vikrant Cafe,4.0,"13-A, G T Road, Kamla Nagar, Delhi - 110007, Opposite Birla Mill",'+(91)-011-23845846
227,Wah Ji Wah Restaurant,3.3,"Shop Number 7-8, 1449/B-1, Main 100 Feet Road, Durgapuri-shahdara, Delhi - 110032, Opposite MBO Mall",'+(91)-011-22810900
228,Mitra Da Dhaba,4.1,"X-57, Ground Floor, West Patel Nagar, Delhi - 110008, Near Kalinga Chowk",'+(91)-011-42415002
229,Shri Kanha Restaurant,3.8,"Shop No 1, Beta 1-greater Noida, Noida - 201310, Near Rampur Jahangir, Cm Market, Near Authority Gol Chakkar",'+(91)-9891993877
230,Da Pizza Palace,3.9,"A-6, Main Kanjawala Road, Budh Vihar, Delhi - 110086, Near Anupam Vatika, Krishna Vihar",'+(91)-7840095042
231,Suvidha Vegetarian Restaura..,4.1,"Shop Number 3058, Netaji Shubash Marg, Darya Ganj, Delhi - 110002, Near Golcha Parking",'+(91)-011-23272981
232,Radha Krishna Choley Bhatur..,3.7,"115, Priya Enclave, Karkardooma, Delhi - 110092, Opp AGCR Enclave Karkardooma Court",'+(91)-9654634559
233,Ram Ji Di Hatti & Caterers,4.0,"BE-324, Gali No-4, Hari Nagar, Delhi - 110064, Opposite MIG Flats",'+(91)-9650438007
234,Maini Restaurant,4.1,"Shop No-4-5, Surya Nagar, Ghaziabad - 201011, A-Block Market, Right Opposite Vivek Vihar",'+(91)-120-2643500
235,Ridhi Sidhi Family Restaura..,4.0,"449/450, Bhim Nagar, Gurgaon - 122001, Near Ramleela Ground",'+(91)-9899590049
236,Madan Sweet & Food Point,3.9,"Shop Number 126, Nehru Nagar, Ghaziabad - 201001, Opposite J K Complex",'+(91)-0120-6514234
237,Raina Di Hatti,4.0,"12/2, Shop Number 23, 24, 25, Main Mathura Road, Faridabad Sector 37, Faridabad - 121003, Opposite Metro Pillar Number-75",'+(91)-0129-4168111
238,The Mint Restaurant,4.1,"Manish Link Road Plaza, Dwarka Sector 5, Delhi - 110075, Near Ashirwad Chowk",'+(91)-11-45605355
239,Shakahari Restaurant,4.0,"Shop Number 3624/9, Chawri Bazar, Delhi - 110006, Near Metro Station",'+(91)-11-23277336
240,Sagar Ratna,4.1,"Omaxe NRI City Centre, Knowledge Park 1-Greater Noida, Noida - 201310, Near Pari Chowk , Greater Noida",'+(91)-120-4262626
241,Sagar Ratna,4.0,"C-18B, Astoria Boulevard Mall, Rdc-Raj Nagar Ghaziabad, Ghaziabad - 201002, Near Hint Chowk",'+(91)-0120-4276140
242,Apni Rasoi,3.7,"Shop No-3767-A/2, Main Road, Tri Nagar, Delhi - 110035, Opposite Kanhiya Nagar Metro Station",'+(91)-9899775278
243,Laddu Gopal Restaurant,4.2,"Shop No-727, Old Railway Road, Bhim Nagar, Gurgaon - 122001, Near Auto Parts Market",'+(91)-9868827614
244,Khana Khazana Restaurant,3.7,"B-4/158, Dividing Road, Rohini Sector 7, Delhi - 110085, Near M B Jewellers",'+(91)-9250922900
245,Chawla De Mashhoor Special ..,3.9,"8955, Chowk Multani Dhanda, Pahar Ganj, Delhi - 110055, Opp Bikaner",'+(91)-11-20023717
246,Hotel Milan Plaza,3.8,"Scf 1 & 2, Faridabad Sector 11, Faridabad - 121006, Nr,Escort Mujesar Metro Station",'+(91)-129-2290074
247,Sagar Ratna,3.8,"C-32, Amar Colony-lajpat Nagar, Delhi - 110024, Near Main Market",'+(91)-011-41610698
248,Rasoi Delivery,3.7,"5/5,Gaur Galaxy, Main Road, Vaishali Sector 5, Ghaziabad - 201010, Near Shopprix Mall",'+(91)-9910009107
249,Kathputli Restaurant,4.1,"Shop No-35, Defence Colony, Delhi - 110024, Defence Colony Market",'+(91)-11-41552046
250,Fauji Da Dhaba,3.8,"54 , Milestone , NH-8, Manesar, Gurgaon - 122052, Near Raj Riffles Centre , Gurgaon",'+(91)-9991800597
251,Bunty Punjabi Chole Bhature..,3.9,"52, Nyay Khand-2, Kala Pathar Road, Indirapuram, Ghaziabad - 201014, Opp.Mahagun Mension",'+(91)-9911448778
252,Kake Di Hatti (D Mall),4.1,"G 21,D Mall, Netaji Subhash Place Complex-pitampura, Delhi - 110034",'+(91)-11-43090359
253,Tite Da Dhaba,4.1,"Shop Number-B595., Shivji College Road, Raghubir Nagar-tagore Garden Extension, Delhi - 110027, Near Mehta Chowk.",'+(91)-7678229401
254,Sham Sweets & Snacks,3.9,"Shop Num289/2, Old Delhi Road, Gurgaon Sector 14, Gurgaon - 122007, Near Telephone Exchange, Opposite Basant Apartment",'+(91)-124-2335588
255,Rajan Corner,4.2,"Building 6/27, Moti Nagar, Delhi - 110015",'+(91)-9650069178
256,Panchavati Gaurav Restauran..,3.9,"Shop No 20 & 21, Ground Floor, Dlf Cyber City, Gurgaon - 122002, Cyber Hub, National Highway 8",'+(91)-0124-4949634
257,Dilli Treat,3.7,"B-2, Upper Ground Floor, New Rajender Nagar, Delhi - 110060, Near DDA Market",'+(91)-11-45506767
258,Southy,4.0,"Shop 9 , Ground Floor , Arunachal Building, Connaught Place, Delhi - 110001",'+(91)-011-40254822
259,Moti Mahal Delux,4.0,"Plot Number-240, H-17, Rohini Sector 7, Delhi - 110085, Opp Metro Pillar No 421",'+(91)-011-45768383
260,Sagar Ratna,4.0,"Shop Number E-8, Naraina Vihar, Delhi - 110028, Near PVR Priya Cinema and Axis Bank",'+(91)-011-42230207
261,Wah Ji Wah Restaurant,3.7,"Plot No 150, Rohini Sector 24, Delhi - 110085, Near By Babosa Chowk, Pocket 16",'+(91)-011-40044715
262,Krishnam Restaurant,3.6,"H 432, H Block, Govindpuram, Ghaziabad - 201013, Near Gaur Square Mall",'+(91)-0120-2764424
263,Burma Burma (DLF Mall Of IN..,4.5,"Shop D 420B , Third Floor , DLF Mall Of India , Plot M-03, Noida Sector 18, Noida - 201301",'+(91)-0120-4372997
264,Indishh Barbeque & Grill,3.7,"Ambience Mall, T-315 3rd Floor, DLF City Phase 3, gurgaon - 122010",'+(91)-8929625729
265,Sanjay Chur Chur Naan,3.7,"Shop No- 6 & 7, Moolchand Metro Station Building, Main Road, Lajpat Nagar, Delhi - 110024, Near Under Metro",'+(91)-9205052938
266,Wah Ji Wah Restaurant,4.0,"Plot Number E-82, Shastri Nagar N, Delhi - 110052, Near Punjab National Bank & Metro Pillar Number 174",'+(91)-9211114155
267,Apna Dhaba,4.1,"Shop Number-29-31, Gg-1, Vikaspuri, Delhi - 110018, Near Main Market",'+(91)-11-28544640
268,Flavor Of Southwala,4.4,"D-355, Vikas Marg, Laxmi Nagar, Delhi - 110092, Near Metro Station Gate No5",'+(91)-011-49540022
269,Papa Chinese Foods,3.8,"Shop Number-26/1, Jail Road, Ashok Nagar, Delhi - 110018, Near Tilak Nagar Metro Station",'+(91)-11-66434432
270,Balaji Rasoi,3.8,"C-8, Main Road, Laxmi Nagar, Delhi - 110092, Near Guru Ram Das Nagar",'+(91)-011-22015197
271,Manpasand Restaurant,4.1,"Shop Number 2 and 3, Palam Vihar Road, Gurgaon Sector 22, Gurgaon - 122015, Opposite Rotary Public School",'+(91)-124-4100849
272,Sagar Ratna Restaurant,3.9,"Shop Number-25,26,27, Dda Local Shopping Center, Greater Kailash Enclave 2, Delhi - 110048, Near Masjid Moth and HDFC Bank",'+(91)-11-41089050
273,Mitra Da Dhaba,3.6,"Shop No-1/124, Sankar Road, Old Rajender Nagar, Delhi - 110060, Opposite PNB Bank",'+(91)-7840090070
274,Punjabi Zaika Vg,4.1,"3539 A Raja Park, Rani Bagh, Delhi - 110034, Near Mahendra Park Chowk & Opposite Bikaner",'+(91)-11-64648001
275,The Vilayati Dhaba,3.8,"857, Dr Mukherjee Nagar, Delhi - 110009, Near Batra Cinema",'+(91)-9643027320
276,Udupi Sai Sarovar Restauran..,4.0,"Shop Number A-91B., Lajpat Nagar 2, Delhi - 110024, Near Style Shoes, Central Market",'+(91)-011-29841222
277,Bikanervala Fine Dining Res..,4.0,"Plot Number-6, Wave Silver Tower, First Floor, Noida Sector 18, Noida - 201301, Block-D, Near Mosaic Hotel and Noida Sector 18 Metro Station",'+(91)-120-4811128
278,Tadka,4.0,"Shop Number 4986, Pahar Ganj, Delhi - 110055, Opposite Relax Hotel, Nehru Bazar",'+(91)-9811966531
279,Sagar Ratna,3.9,"C 134 B, Ground Floor, Supertech Shopprix Mall, Noida Sector 61, Noida - 201307, Nr Kanchanjangha Maket",'+(91)-120-4204347
280,Lala Ji Da Shudh Vaishno Dh..,3.9,"G-157, Main Najafgarh Road, Uttam Nagar, Delhi - 110059, Near Vishal Mega Mart, Opposite Metro Pillar No-676",'+(91)-9871758758
281,Santushti Vegetarian Restau..,4.0,"Shop No 21,L Block Market, Noida Sector 11, Noida - 201301, Near Metro Hospital",'+(91)-120-2440455
282,Bhukkad Gali,3.6,"D-15/160,Ground Floor, Rohini Sector 3, Delhi - 110085, Near Ayodhya Chowk",'+(91)-11-49841400
283,Shree Maakhan,3.3,"Plot Number F  603, Dwarka Sector 7, Delhi - 110075, Near Ramphal Chowk, Palam Extension",'+(91)-11-45873722
284,Punjabi Dhaba,4.2,"Csc-5, Shop Number- 6/16, Rohini Sector 11, Delhi - 110085, Behind Veera Jain Hospital, Near D-3 DDA Market",'+(91)-11-42051241
285,Govind Dhaba,4.0,"Plot Number 4-A, Dilshad Garden, Delhi - 110095, Near H Pocket",'+(91)-11-22585587
286,Bunty Chap Tandoori Junctio..,3.8,"3-B-2, Shop No-9-10, Nehru Nagar 3, Ghaziabad - 201001, Near Holy Child Chowk, B Block",'+(91)-0120-2790355
287,Rahul Rasoi Restaurant & Ca..,3.9,"Shop No- 23/B-1,DDA Market, Paschim Vihar, Delhi - 110063, Near Main Market",'+(91)-11-25269088
288,Singlas Restaurant,3.8,"1963/2, Narela, Delhi - 110040, Near Raghunath Mandir , Main Bazar",'+(91)-7290063531
289,Devirams,3.9,"Shop Number 88, Ground Floor, Eros City Square Mall, Gurgaon Sector 49, Gurgaon - 122018, Near Sector 50",'+(91)-0124-4690888
290,New Tera Hotel,4.1,"Shop No 4, Karol Bagh, Delhi - 110005, Gaffar Market",'+(91)-9311117677
291,Southy Restaurant,3.6,"No 88/4, Aurobindo Marg, Adchini-sarvodaya Enclave, Delhi - 110017, Near Govardhan Restaurant",'+(91)-11-41088644
292,Sabki Rasoi Madras Cafe,3.8,"Shop No B-173, B Block, Dwarka Sector 7, Delhi - 110075, Near Honda Showroom",'+(91)-9999682383
293,Town Darbar,4.2,"Plot Number 1g/47, Faridabad Nit, Faridabad - 121001, Near Kalyan Singh Chowk",'+(91)-0129-4870505
294,Amritsari Vaishno Dhaba,3.6,"Pillar No.782, Dwarka, Delhi - 110075",'+(91)-7503831176
295,Apni Rasoi,4.0,"Shop Number-150, Pocket B 6, Rohini Sector 8, Delhi - 110085, Near Swimming Pool",'+(91)-11-32457368
296,Shree Rathnam Restaurant Pv..,4.0,"G-78, Preet Vihar, Delhi - 110092, Oppsoite Metro Pillar No-101",'+(91)-11-42427771
297,Shree Rathnam Restaurant,3.8,"Shop Number-C-135,Indirapuram Habitat Center, Ground Floor, Ahinsa Khand 1-indirapuram, Ghaziabad - 201014, Near ATS Advantage",'+(91)-0120-7133022
298,New Kadimi Food Pvt Ltd,3.9,"A-40, Rajouri Garden, Delhi - 110027, Near Vishal Enclave, Opposite TDI Mall",'+(91)-11-45034900
299,Shree Rathnam Restaurant,3.8,"Shop No 19 & 20, Paramount Spectrum, Main Road, Crossing Republik, Ghaziabad - 201016, Near Abes Engineering College",'+(91)-0120-2986772
300,Punjabi Chulha,3.9,"Shop 16, , Sector 21 , Faridabad, Faridabad Sector 21, Faridabad - 121001, Near- Comissioner Office",'+(91)-8800304019
301,Angithi Pure Veg Soya Chaap,3.8,"E-48, Raj Nagar Ghaziabad, Ghaziabad - 201002, Near Sector 10 Market, Near Ramleela Ground",'+(91)-9268880999
302,Sagar Ratna Restaurant,4.0,"Galaxie Multiplex Shopping Mall, Main Link Road, Sahibabad Ho, Sahibabad - 201005, Opposite Supertech Apartment, Near Vaishali Metro Station",'+(91)-0120-4373126
303,Bengal Sweet Corner,3.9,"36, Suman Tower, Central Market, Ashok Vihar 1, Delhi - 110052, Opposite Police Station",'+(91)-11-27417524
304,Gupta Rasoi,3.5,"Shop.no. Scf-57-58, Sector 17a, HUDA Market, Gurgaon Sector 17, Gurgaon - 122001, Near Axis Atm",'+(91)-124-4011347
305,Karans Vaishno Dhaba,4.0,"B-13 & 14, Ramesh Nagar, Delhi - 110015, Near Gol Chakkar, Tilak Market",'+(91)-11-25938873
306,Apni Rasoi,4.0,"Shop No-301,302, Main Railway Road, Laxman Vihar, Gurgaon - 122001, Opposite Apna Enclave",'+(91)-9911114789
307,Dwarka Restaurant,3.9,"X-59, Ground Floor, West Patel Nagar, Delhi - 110008, Near Kalinga Chowk",'+(91)-11-32972797
308,New Chappan Bhog,4.0,"C-3/157, Main Road, Yamuna Vihar, Delhi - 110053, Near Jain Mandir",'+(91)-011-22910558
309,Anand vaishno Dhaba,3.9,"Shop No Wz 53, Dayalsar Road, Uttam Nagar, Delhi - 110059, Near Adarsh Model School",'+(91)-9873489895
310,Shree Rathnam,3.8,"Shop no-1, KSN Square, Vasundhara Sector 3, Ghaziabad - 201012, Near Vishal Mega Mart",'+(91)-120-33058329
311,Shubham Eating Corner,3.7,"Shop Number B-19/A, Main Vikas Marg, Shakarpur, Delhi - 110092, Near Metro Pillar Number- 43",'+(91)-11-22523326
312,Carnatic Cafe,4.3,"32nd Milestone , NH 8, Gurgaon Sector 14, Gurgaon - 122007",'+(91)-9667180466
313,Aashirwad Restaurant,3.6,"Shop No B -31/125,Gurunanak Pura, Mangal Bazar ROAD, Laxmi Nagar, Delhi - 110092, Behind Maharaja Banquet",'+(91)-011-41112703
314,Pummy Food Zone,3.9,"Shop No 15, Main Road, Dilshad Garden, Delhi - 110095, Near Shani Mandir, O & P Market",'+(91)-11-47580505
315,Rumours,3.8,"288,  AGCR Enclave, Karkardooma, Delhi - 110092",'+(91)-9716428428
316,Chef Panda,3.6,"Shop Number- 5 & 6, 1st Floor, Main Meerut Byepass Road, Raj Nagar Extension Ghaziabad, Ghaziabad - 201017, Near Ajnara Interigrity Building",'+(91)-9540395888
317,Wah Ji Wah Restaurant,3.8,"Plot Number- 5, Naveen Park, Sahibabad - 201005, Opposite Rajendra Nagar Sector-5",'+(91)-9911975558
318,Shree Rathnam (Vvip Style M..,3.8,"Vvip Style Mall, 1st Floor, Shop No. 130 to 135, Meerut By Pass Road, Raj Nagar Extension Ghaziabad, Ghaziabad - 201017, Hira Sweets",'+(91)-9773611771
319,Chadha Bhojnalaya,4.0,"B-3/24, Main Road, Model Town 1, Delhi - 110009, Near Model Town Metro Station",'+(91)-11-27129125
320,Kamal Dhaba,3.8,"B-19,Mela Plaza, Vasundhara Sector 16, Ghaziabad - 201012, Near Rahul Dairy",'+(91)-0120-2882567
321,Firangi Cafe,3.8,"Shop 2, 183/1, Sector 28 , Faridabad, Main Link Road, Faridabad Sector 28, Faridabad - 121008",'+(91)-9999831234
322,Chilliz,4.1,"Shop No-G-12, Gujranwala Town, Delhi - 110009, Near Bablu Kabab",'+(91)-011-45150444
323,Angna Veg Restaurant,3.9,"Shop No 40 , 1st Floor , D -Block Market, Pitampura, Delhi - 110034, Pushpanjali Enclace",'+(91)-9999564438
324,Ashu Bhature Wala,4.1,"150, Rohini Sector 8, Delhi - 110085, Near Kendriya Vidyalaya",'+(91)-9899252699
325,Rajasthani Jeeman Restauran..,4.0,"Plot Number.218, Shakti Khand 2-Indirapuram, Ghaziabad - 201014, Opp D-mall",'+(91)-8957318929
326,Anna,3.8,"SF-10 2nd Floor, Ansal Palza, Main Road, Palam Vihar, Gurgaon - 122017",'+(91)-9911006611
327,Shri Hari Restaurant,4.2,"Shop Number J-30B, Main Market Road, Lajpat Nagar 2, Delhi - 110024, Near Center Market",'+(91)-011-46540333
328,Khana Khazana Restaurant,4.0,"B-24A, Mahavir Enclave, Delhi - 110045, Near Sector-1A, Dashrath Puri",'+(91)-11-25396000
329,Haveli Restaurant,3.8,"SHOP NO.-28,29,31 Express Garden Market, Shipra Mall Road, Vaibhav Khand-indirapuram, Ghaziabad - 201014, Near Shipra Mall Opposite Habitat Center",'+(91)-120-4160020
330,Gyans Restaurant,4.0,"Shop  No 28/10, East Patel Nagar, Delhi - 110008, Near Central Market, Opposite Neel Kanth Mandir",'+(91)-011-25815281
331,Shree Durga Dosa Corner,4.0,"Gh - 14,561, DDA Market, Paschim Vihar, Delhi - 110063",'+(91)-011-25268788
332,Malik Vegetarian Restaurant,3.9,"13/4A Ward No-1, Mehrauli, Delhi - 110030, Near Mehruli Bus Terminal, Mehrauli Market",'+(91)-8471022254
