,Restaurant Name,Ratings,Address,Contact Number
333,Amrit Family Rasoi,4.2,"Bg-6, Shop Number  2, Main Road, Paschim Vihar, Delhi - 110063, Dda Market",'+(91)-11-25265565
334,Maestro Cafe,4.2,"B-14,, Deep Cinema Complex, Ashok Vihar 1, Delhi - 110052, Near Deep Market",'+(91)-9811624972
335,Rana 3 H Haveli Restaurant,3.7,"1640 A, First Floor, Thana Road, Najafgarh, Delhi - 110043, Near Muthoot Finance",'+(91)-011-64722201
336,Village The House Of Food,3.8,"B-1, Main Road, Mayur Vihar Phase 1, Delhi - 110091, Near Reliance Fresh , Acharya Niketan",'+(91)-11-22750101
337,Bunty Dhaba,4.0,"410,, Jheel Khurenja-krishna Nagar, Delhi - 110051, Opposite 310 Bus Stop",'+(91)-9911123730
338,Wah Ji Wah Restaurant,3.8,"Shop No-1908, Main Road, Chandni Chowk, Delhi - 110006, Opposite Sheesh Ganj Gurudwara",'+(91)-9871138299
339,Haldirams,4.0,"World Square Mall Ground Floor, Mohan Nagar, Ghaziabad - 201007, Near Narinder Mohan Hospital",'+(91)-8588000869
340,Gazibo Restaurant,4.0,"Shop No 28 Windsor  Street Market, Nyay Khand 2-Indirapuram, Ghaziabad - 201014",'+(91)-120-4228333
341,The Brijwasi Restaurant,3.4,"A 89, Kamla Nagar, Delhi - 110007, Bhatiya Chowk",'+(91)-011-23844202
342,Wah Ji Wah Restaurant,3.9,"Shop Number- A- 36, Main Kanjhawla Road, Budh Vihar Phase 1, Delhi - 110086, Near Axis Bank ATM",'+(91)-11-66992494
343,New Bangla Restaurant,3.9,"Shop Number 2094/165, Ganesh Pura Road, Tri Nagar, Delhi - 110035",'+(91)-11-27384604
344,New Raja Vaishno Bhojanalya,3.9,"Plot Number- 1, G T Road, Mohan Nagar, Ghaziabad - 201007, Opposite Sales Tax Barrier",'+(91)-9818297918
345,Sona Pure Vegetarian Paradi..,4.0,"53 & 54,First Floor,Goverdhan House, Nehru Place, Delhi - 110019, Opposite Sona Sweets",'+(91)-11-41657626
346,Sagar Ratna,4.1,"One Horizon Center , Gurgaon, Golf Course Road, Gurgaon - 122003",'+(91)-0124-6900009
347,Rajshree Restaurant And Par..,3.7,"C-1/9, Lal Quator, Main Road, Krishna Nagar, Delhi - 110051, Above Archies Gallery",'+(91)-9999764710
348,Anupam Restaurant,4.1,"A-32, Faridabad Nit, Faridabad - 121001, B K Chowk, Near Frontier Colony",'+(91)-129-4030706
349,Ved Dhaba,4.0,"5307, Shree Ram Building, Chandrawal Road, Jawahar Nagar, Delhi - 110007",'+(91)-11-23850931
350,64 By 6,4.1,"C/O Country Inn & Suites By Carlson, Sahibabad Industrial Area, Ghaziabad - 201010, Near Site 4, Near Vaishali Metro Station",'+(91)-0120-4180000
351,New Bal Gopal Bhojanalaya,3.8,"E-1/6, Main Road, Pandav Nagar, Delhi - 110092, Near Mother Dairy",'+(91)-9266680777
352,Cafe Turtle,4.1,"23, 2nd Floor, Middle Lane, Khan Market, Delhi - 110003",'+(91)-11-24655642
353,Hari Om Rasoi,4.0,"Shop Number 291/5, Main Madan Puri Road, Street Number 5, Old Railway Road, Gurgaon Sector 8, Gurgaon - 122001, Near Pataudi Chowk",'+(91)-0124-6542776
354,Puratan Family Restaurant,3.9,"Shop Number-202, 2nd Floor, Garg Trade Centre, Rohini Sector 11, Delhi - 110085, Near G3S Cinema Hall",'+(91)-11-43514006
355,Triveni Restaurant,4.0,"472-B, Dayanand Marg, Jheel Khurenja-Krishna Nagar, Delhi - 110051, Near Tanga Stand",'+(91)-11-22016984
356,Wah Ji Wah Restaurant,3.9,"Shop Number 149-150, HUDA Market, Gurgaon Sector 56, Gurgaon - 122011, Near Huda Market",'+(91)-124-2571095
357,Vyanjan Restaurant,4.0,"Shop Number Aj-52, Shalimar Bagh, Delhi - 110088, Opp Dominos",'+(91)-9311113571
358,Shree Rathnam,3.9,"Hl-5, Jail Road, Hari Nagar, Delhi - 110064, L Block, Opposite Santoshi Mata Mandir",'+(91)-11-41063009
359,Nakshatra Punjabi Rasoi Res..,4.0,"Shop No-351, Central Aggarwal Plaza, 3rd Floor, Rohini Sector 9, Delhi - 110085, D C Chowk",'+(91)-11-27557474
360,New Frontier Hotel,4.0,"Shop Number-2, Arya Samaj Road, Ajmal Khan Road, Karol Bagh, Delhi - 110005, Gaffar Market",'+(91)-11-28721620
361,Akashdeep Restaurant,3.9,"Shop Number-3627,1st Floor, Netaji Subhash Marg, Darya Ganj, Delhi - 110002, Golcha Cinema Corner",'+(91)-11-23271390
362,Priya Panchavati Restaurant,3.5,"C-11/8, YAMUNA VIHAR, Yamuna Vihar, Delhi - 110053, Near Mcd Daftar,C Block",'+(91)-11-22913104
363,Shiv Restaurant,3.9,"Booth No-122-123, Huda Market, Faridabad Sector 17, Faridabad - 121002, Near Community Centre",'+(91)-0129-2295356
364,Wah Bhai Wah,3.9,"Shop Number-101, Faridabad Sector 7, Faridabad - 121006, Near ICICI Bank,Huda Market",'+(91)-129-61495240
365,Captain Katora,3.8,"Shop Number B 3/43a, Yamuna Vihar, Delhi - 110053, Near Bhajanpura Petrol Pump , B Block",'+(91)-7838955190
366,Gulab Wala,3.8,"53/5 , Deshbandhu Gupta Road , (Opposite Manas Mandir), Karol Bagh, Delhi - 110005",'+(91)-11-28723939
367,Wah Ji Wah Restaurant,3.8,"Shop No.9083, Parade Ground, Polo Road, Vijay Nagar, Delhi - 110009, Near Shani Mandir",'+(91)-8750000858
368,Wah Ji Wah Restaurant,3.8,"Vijay Nagar, Delhi - 110009, Near Shani Mandir",'+(91)-9873416844
369,Shri Radha Ki Rasoi.,3.5,"Shop Number- 1, Dwarka More, Delhi - 110059, Near Rama Park, Opposite Metro Pillar No 771",'+(91)-011-61495064
370,Shree Jee Rasoi,3.9,"5, Pratap Bhawan, Bahadur Shah Zafar Marg, Ito, Delhi - 110002, Near Times Of India Passport Office",'+(91)-9818114695
371,Aapki Rasoi,3.8,"G-13, 14, West Enclave-Pitampura, Delhi - 110034, Near Vardhman Market",'+(91)-011-47557475
372,Aapki Rasoi,3.8,"Shop No-3207,Mahendra Park, Rani Bagh, Delhi - 110034, Near Fountain Chowk & Kali Mata Mandir",'+(91)-11-64701463
373,Chinese Inn Restaurant,3.6,"Shop No-13/82, Gurudwara Road, Geeta Colony, Delhi - 110031, Near-Chawla Chicken",'+(91)-9711102233
374,Cafe 96 Square,3.7,"F-3/20, Krishna Nagar, Delhi - 110051, Near Vijay Chowk",'+(91)-9971264093
375,Shudh Vaishno Shanker Dhaba,4.3,"Shop 163, A-6 LSC DDA Market Paschim Vihar, Achievers Library, Paschim Vihar, Delhi - 110063, Near Paschim Vihar Sports Complex",'+(91)-9716925114
376,Vrinda Restaurant,3.6,"E-1, Street Number-5  Main Road, Karawal Nagar, Delhi - 110094, Sadatpur Extension",'+(91)-9711256215
377,Amritsari Chaap Corner.,4.2,"shop no- 5060/1, Sant nagar, Karol Bagh, Delhi - 110005, adjoining  Khalsa College",'+(91)-9810055621
378,Shagun Pure Vegetarian Rest..,3.8,"F1/13-14, DDA Market, Sultanpuri, Delhi - 110086, Opp. Bank Of Baroda",'+(91)-9212012024
379,Jai Shri Krishna,3.9,"Shop No.-09, Main IGNOU Road, Saiyad Ul Ajaib, Delhi - 110030, Opposite Anupam Appartment.",'+(91)-9213813519
380,SGF - Spice Grill Flame,3.7,"Shop Number 54, Gurgaon Sector 31, Gurgaon - 122001, Near Bank Of Baroda, Huda Main Market",'+(91)-9005565966
381,Raj Shahi Restaurant,3.8,"Old Railway Road, Laxman Vihar, Gurgaon - 122006, Opp Sneh Hospital, Sector 3A, Gurugram",'+(91)-0124-4072275
382,Shiv Shankar Restaurant,4.2,"Shop Number-115, Paschim Vihar, Delhi - 110063, Near A 6 Block,LSC DDA Market",'+(91)-7042847243
383,Wah Ji Wah Restaurant,3.7,"Shop No.4, Village Dundahera, Old Delhi Gurgaon Road, Gurgaon Sector 21, Gurgaon - 122016, Village Dundahera",'+(91)-9910160947
384,Rasoi A Family Restaurant,3.6,"Plot No-15, Shop Number-1, Extension 1,Budh Bazar Road, Shalimar Garden, Sahibabad - 201005, Near Gate No-8",'+(91)-9718217994
385,Aashirwad Fine Dining Resta..,3.7,"E-10, Ground Floor, Main 100 Feet Road, Jyoti Nagar West, Delhi - 110032",'+(91)-7840001326
386,THE Veggie BITES,4.2,"B-304, Saraswati Vihar, Outer Ring Road, Pitampura, Delhi - 110034, Near C-Block Bus Stand",'+(91)-8377803803
387,Moms Kitchen,3.4,"U 8/43, DLF City Phase 3, Gurgaon - 122010, Metro Station Gate No. 2",'+(91)-9999605756
388,Sultanat Pure Veg Lounge & ..,3.8,"31 B C, Ground Floor, Aditya Mega Mall, Karkardooma, Delhi - 110092, Near Crossriver Mall",07947218359
389,Bhai Sweets Restaurant,3.7,"Scf-46, Faridabad Sector 3, Faridabad - 121004, Near Huda Market",'+(91)-129-2304950
390,Moti Mahal Delux Tandoori T..,4.1,"1644 C, Thana Road, Najafgarh, Delhi - 110043",'+(91)-9654740005
391,Hum Sabki Rasoi,3.9,"S-1/68, Tilak Nagar, Delhi - 110018, Near Old Mahavir Nagar, Near JMD Auto",'+(91)-11-65583218
392,Rasoi Deliver,3.7,"Shop Number K- 4, Indirapuram, Ghaziabad - 201014, Near Windsor Street Market & SPS Complex",'+(91)-9910025216
393,Apna Dhaba,4.1,"BE-335 A, Main Road, Hari Nagar, Delhi - 110064, Opposite Vikrant Enclave",'+(91)-11-25122134
394,Bikaners Sweets Snacks And ..,3.5,"Shop No-25,26,27,Arcade-A, Princely Estate, Noida Sector 76, Noida - 201304, Opposite Silicon City Gate No -2",'+(91)-7065025032
395,Hari Om Bhojnalaya,4.0,"30/9, Main Road, Karawal Nagar, Delhi - 110094, Near Mangal Bazar & Gola Factory, Prem Nagar",'+(91)-9990307360
396,Amritsari Express,3.8,"Shop Number 28, Road Number 44, Rani Bagh, Delhi - 110034, Opposite Chunmun Mall",'+(91)-8010009023
397,Moti Mahal Delux,3.9,"157, Ground Floor, Kapil Vihar, Pitampura, Delhi - 110034, Oppoiste  Metro Pillar No",'+(91)-011-33105741
398,Veer ji Malai Chaap Wale,3.9,"Shop 3, Plot 5, Local Shopping Complex, Rishabh Vihar, Karkardooma, Karkardooma, Karkardooma, Delhi - 110092, Near Karkardooma Court",'+(91)-9999902373
399,Cross Town Restaurant,4.0,"Plot No-188, G T Road, Achheja, Noida - 203207, Near Hero Motors",'+(91)-9015213280
400,The Kulchas,4.2,"Plot Number A 71,  Shop Number 1, Kalkaji, Delhi - 110019, Opposite HDFC Bank, Double Story",'+(91)-7303514747
401,Gurdasmaan Punjabi Khana & ..,4.0,"Shope No-D-1/17, Rohini Sector 15, Delhi - 110089, Near Manav Chowk",'+(91)-9999402559
402,Aam Aadmi Ke Pakwaan,3.8,"No 21 Ub, Momos Point Gali, Kamla Nagar, Delhi - 110007, Near Jawahar Nagar",'+(91)-8168300129
403,The Food Lounge Restaurant,4.0,"Plot No 09, Patpar Ganj Road, Shivpuri, Delhi - 110051, Near Dominos",'+(91)-9999123413
404,Spice Grill Flame,3.1,"Shop No-73, Ground Floor, Vikas Marg, Laxmi Nagar, Delhi - 110092, Near Metro Pillar Number 50",'+(91)-7834907102
405,Food Plus,4.0,"WA-141, Krishna Mandir Road, Shakarpur, Delhi - 110092, Near Krishna Mandir",'+(91)-11-22502065
406,Petu Ram,4.3,"Plot No-400, Main Road Bawana, Pooth Khurd, Delhi - 110039, Near G R International School",'+(91)-8860601360
407,Madras Cafe,3.9,"C-30, Shop Number-6, Madhu Vihar-patparganj, Delhi - 110092, Near Nirvana Society",'+(91)-9716407807
408,Delhi 6,3.9,"WZ-54-A/3, Budhela Village-Vikaspuri, Delhi - 110018, Near Central Market",'+(91)-9999407408
409,Chaska Food Corner,4.0,"11820, Panchshell Park, Main Road, Delhi - 110053, Shahdara",'+(91)-9811148161
410,Friends Restaurant,3.7,"27A, Rajender Nagar Market, Old Rajender Nagar, Delhi - 110060, Near Main Market, Opposite Syndicate Bank",'+(91)-011-42430443
411,Break Time,3.7,"3B-4,BP, Main Road, Faridabad NIT, Faridabad - 121001, Near Dav College",'+(91)-129-4175050
412,Kuteer Restaurant,3.6,"Khasra Number 303/2, Delhi Road, Bawana, Delhi - 110039, Main Bus Stand",'+(91)-9313996851
413,Shri Hari Sharnam Restauran..,4.1,"1490-91, Kashmere Gate, Delhi - 110006, Near Ritz Cinema",'+(91)-11-23867593
414,Sanskriti Foods,3.8,"Shop Number 2, Noida Sector 51, Noida - 201307, Near Hoshiyarpur Red Light, Main Market, Near City Pride",'+(91)-9891068519
415,Sagar Ratna,3.7,"Hall Number-5, Tower-E, Crossing Republik, Ghaziabad - 201016, Near Bank Of Baroda, Gaur Global Village",'+(91)-120-2986550
416,Royal Restaurant,4.0,"Shop Number-81, Connaught Place, Delhi - 110001, Municipal Market",'+(91)-11-23411338
417,Kerala Dosa House,3.5,"Shop Number 2350, 7/8 Dividing Road, Faridabad Sector 7a, Faridabad - 121006, Near Vodafone Mini Store",'+(91)-129-4010179
418,Manwhar,3.9,"Shop Number-5, GT Road, Kamla Nagar, Delhi - 110007, Roop Nagar",'+(91)-11-23848995
419,Shree Banke Foods,4.0,"9/24, Shivpuri, Shivpuri-Chandar Nagar, Delhi - 110051, Near Labour Chowk",'+(91)-9136000234
420,Suganya Restaurant,3.9,"BA/38a, BA Block, Main Road, Janakpuri, Delhi - 110058, Near Chhoti Sabzi Mandi",'+(91)-9811060436
421,Mr Singhs Tandoori Hut,4.0,"5d/110, Faridabad NIT, Faridabad - 121001, Opposite Bijli Ghar",'+(91)-129-4026600
422,The Masala Trail (Ansal Pla..,3.9,"B Block, 104,First Floor, Ansal Plaza Mall, Anshal Plaza Moll, Khel Gaon, Delhi - 110049, Nr-HUdko Place",'+(91)-011-49093717
423,Chaudhary Restaurant,3.8,"Shop No - 24, Faridabad Sector 15, Faridabad - 121007, Near Police Post",'+(91)-129-2280295
424,Tiffynn,4.1,"Shop No.1, DDA Market, Vasundhara Enclave, Delhi - 110096, Nr.agrsaen College",'+(91)-9315114043
425,Radha Ki Rasoi,3.3,"Rzn-D-184, Paschim Enclave, Delhi - 110087, Near Peera Garhi Metro Station,Opposite Maiden Crown Banquet Hall",'+(91)-9953143384
426,Shudh Restaurant,3.7,"C-17,18 Basement, Vasundhara, Ghaziabad - 201012, Near Sector-15, State Bank Of India",'+(91)-9999672266
427,Ghanshyam Veshno Hotel,3.8,"Shop No 76 A, Railway Station Road, Ghanta Ghar, Ghaziabad - 201001, Opposite Jain Mandir, Choti Bazariya",'+(91)-7053079085
428,Annapurna Pure Veg,4.0,"3/C/185, Faridabad Nit, Faridabad - 121001, Near Police Post Number 3",'+(91)-9999938600
429,Captain Food Factory,4.0,"1620-B/2, Thana Road, Telephone Exchange Street, Najafgarh, Delhi - 110043, Opposite Hdfc Bank",'+(91)-9911583555
430,Shree Ratans A Pure Veg Fin..,4.0,"U-59, Lampur Road, Narela, Delhi - 110040, Near Under Pass/ Railway Station & Bus Terminal",'+(91)-11-27283030
431,Choudhary Dhaba,3.8,"Sector 132 Rohillapur, Noida Sector 132, Noida - 201304, Main Tomar Market, Near Step By Step School",'+(91)-7065464732
432,Choudhary Dhaba,3.8,"Shop No-1 & 2, Noida Sector 132, Noida - 201304, Opposite Step By Step School",'+(91)-8700684672
433,Balaji Restaurant,3.8,"Krishna Park, Devli Road, Sangam Vihar, Delhi - 110044",'+(91)-9818641962
434,Sankalp Restaurant,3.8,"P- 15, Connaught Place, Delhi - 110001, Near Central",'+(91)-9811216447
435,Punjabi Zaika,4.0,"1/5060 Buliding No., Desh Bandhu Gupta Road, Karol Bagh, Delhi - 110005, Near Khalsa College,Sant Nagar",'+(91)-11-64004802
436,Shudh Vaishno Hotel,4.1,"T- 32,33,34, Karampura, Delhi - 110015, Super Market,Opposite Milan Cinema,New Moti Nagar",'+(91)-11-45095200
437,Radha Swami Vaishno Dhaba,4.1,"C 23, Uttam Nagar, Delhi - 110059, Near East Opposite Pali Factory",'+(91)-9250835166
438,Shri Krishna Dhaba,3.9,"26B/12 , Desh Band Gupta Road , Anand Parvath, Karol Bagh, Delhi - 110005, Near Karol Bagh , New Delhi",'+(91)-011-28716748
439,Gopi Vaishno Dhaba,3.2,"Plot No 619/7, Main Road, Chattarpur, Delhi - 110074, Truck Market, Opposite Tivoli Garden",'+(91)-9971029036
440,Bhola Dhaba.,3.7,"Shop Number-1, Hospital Road, Bhogal, Delhi - 110014, Near Guru Nanak Market,Jangpura.",'+(91)-9810913747
441,New Utsav Rasoi,3.7,"B - 118, Shiv Mandir Road, Swaroop Nagar, Delhi - 110042, Near Shiv Mandir",'+(91)-9999469828
442,Bollywood Masala,3.7,"E-4/7, Krishna Nagar, Delhi - 110051, Near Goyal Nursing Home",'+(91)-11-64647999
443,Sagar Ratna (DLF Place Mall..,3.9,"2nd Floor,Food Cout , Dlf Place Mall, Saket, Delhi - 110017",'+(91)-8700751733
444,Chacha Ka Dhaba,3.3,"Shop Number- AM 03, Ansal Commercial Complex, Main Road, Omega 1, Noida - 201310, Near Alpha Golf Link 1st, Near Evergreen Sweets",'+(91)-8882999309
445,Saini Foods,3.4,"Shop No-1,Kaushik Complex, Gurgaon Sector 17, Gurgaon - 122001, Near Discovery Wine Shop &  IFFCO Chowk",'+(91)-9999679641
446,Pandit Ji Amritsari Kulcha ..,4.1,"RU- 22, Pitampura, Delhi - 110034, Opposite Power House, New Delhi",'+(91)-9899697499
447,Sagar Rathnam Restaurants P..,3.7,"3F, Ground Floor, Kamla Nagar, Delhi - 110007, Near Bada Gol Chakkar",'+(91)-11-23845234
448,The Brijwasi Restaurant,4.0,"Shop Number-379, Main Road, Chandni Chowk, Delhi - 110006, Near Bikanerwala",'+(91)-011-23986090
449,New Family Kailash Bhojnaly..,4.1,"A-10 /, Nasirpur Fatak Road, Ashok Nagar Ghaziabad, Ghaziabad - 201001, Near Holichild School",'+(91)-9717859722
450,Dosa Junction,4.1,"Surajkund Road, Surajkund, Faridabad - 121009, Near Eros Garden, Near 1st Indian Oil Petrol Pump, Charmswood Village",'+(91)-9717494200
451,Soni Bhojnalaya,4.2,"161, Kuncha Ghasi Ram, Fatehpuri, Delhi - 110006, Near Fatehpuri Maszid",'+(91)-11-23981331
452,Satyam Vegetarian,3.9,"93, Sri Aurobindo Marg, Adchini-sarvodaya Enclave, Delhi - 110017, Near IIT Campus",'+(91)-011-69996666
453,Om Bhojnalaya,4.0,"Plot Number 12, Beta 1-greater Noida, Noida - 201310, Near Rampur Market, Opposite Authority, Rampur Jagir",'+(91)-9718182544
454,Nbc Restaurant,4.1,"Shop No.2 , Building Number 1644/B, Thanna Road, Najafgarh, Delhi - 110043, Near Vikas Hospital , B Block",'+(91)-9540590213
455,Bunty Chaap Tandoori Juncti..,3.7,"Shop No-7 , Second Floor, Galleria Market-1, Crossing Republik, Ghaziabad - 201016, Near Golf Course",'+(91)-9773906647
456,Southern Treat Pure Veg Fam..,3.5,"Shop Number-B1/31, Noida Sector 50, Noida - 201307, Near Noida City Centre, Central Market",'+(91)-120-4270372
457,Satguru Dhaba,3.9,"Shop No-18/52,Grd Flr, East Patel Nagar, Delhi - 110008, Nr Neel Kanth Mandir",'+(91)-011-25730853
458,Rajesh Food Point (Pure Veg..,4.2,"B-4 Syndicate Enclave, Dabri, Delhi - 110045, Opp.pankha Road",'+(91)-9211778706
459,Shree Shyam Rasoi And Cater..,3.8,"Shop Number 8, Dharam Colony, Palam Vihar Road, Gurgaon - 122017, Opposite Power House",'+(91)-9899303302
460,A Dilli Restaurant,3.9,"A-6, Loni, Ghaziabad - 201102, Near Ram Park, Near Saharanpur Road",'+(91)-9910253337
461,Chamunda Cafe,3.8,"Shop No-22, Okhla Industrial Area Phase 3, Delhi - 110020, Near Moser Bear 43b",'+(91)-11-26916823
462,Sagar Ratna,4.0,"R1 , 2 & 4 , Gulmohar Shopping Complex , Sector 15 C, Noida Sector 15, Noida - 201301",'+(91)-120-4212355
463,Gupta Sweet Corner,3.9,"129, Bangla Sahib Marg, Connaught Place, Delhi - 110001, Near Gol Market",'+(91)-11-23363954
464,Balji Rasoi,3.8,"House No-467, Madanpuri Gurgaon, Gurgaon - 122006, Opposite Gali No-4",'+(91)-9312041712
465,ASAP - As Spicy As Possible,4.0,"Shop No. 16, Garden Galleria Market, Noida Sector 46, Noida - 201303",'+(91)-9331933162
466,Mr-Nitin,3.6,"Shop Number-27/94 B, Shahdara, Delhi - 110032, Near Vishwas Nagar ,  Jwala Nagar , Tikona Park",'+(91)-11-61495119
467,Dhaba Nh-10,3.8,"E -53 PHASE -2 First FLOOR, MAIN ROHTAK ROAD, Nangloi, Delhi - 110041, OPP METRO PILLAR NO-417",'+(91)-8285595595
468,Sardar Ji Malai Chap Wale,3.6,"Shop Number 24, Crossing Republik, Ghaziabad - 201016, Near Panchsheel Well Bazaar, Near By Airtel Office",'+(91)-9355307072
469,Bal Gopal Pure Vegetarian,4.1,"Shop Number 46, Rajouri Garden, Delhi - 110027, Near Ansal Plaza Building,Dda Market",'+(91)-11-25971078
470,Wah Ji Wah Restaurant,3.4,"Shop Number 2, Main Surajkund Road, Faridabad Sector 41, Faridabad - 121010, Near Sector 41-42, Opposite Omaxe Forest Spa",'+(91)-129-33105728
471,Anna South Indian Fast Food,4.1,"Shop Number-8, Ground Floor, Main Road, Lajpat Nagar 1, Delhi - 110024, Opposite Anand Chole Bhature, Main Krishna Market",'+(91)-9811747746
472,Kumar Punjabi Dhaba,3.8,"Site-1/608, Vikaspuri Road, Vikaspuri, Delhi - 110018, Near Vikaspuri Mod",'+(91)-9718774620
473,A One Family Restaurant,4.0,"B 41, Sector 1 Complex, Imt Manesar, Gurgaon - 122052, Near Savoy Suites",'+(91)-9953329741
474,Gulati Dhaba,4.1,"Wz-62/D, Janakpuri, Delhi - 110058, Passangi Pur Market, Near Durga Mandir",'+(91)-9811398212
475,Brijwasi Bhoj,4.0,"Shop Number - 376, Main Road, Chandni Chowk, Delhi - 110006, Outside Kuncha Ghasi Ram",'+(91)-11-23971376
476,Vanakkam Madras Cafe,4.0,"Shop No 1, H Block, Vikaspuri, Delhi - 110018, DDA Market, Near K R Mangalam School",'+(91)-9868020232
477,Peturams Pure Veg,4.0,"Add : Plot Number 180/5, Main Road, Vasundhara Sector 16, Ghaziabad - 201012, Near Agrasen Chowk",'+(91)-9873944772
478,Sonu Shuddh Bhojnalaya,3.6,"B-1/ 1b, Janta Flats, Mayur Vihar Phase 3, Delhi - 110096, Gd Colony, Main Market, Near Ryan International School",'+(91)-9910110694
479,Sehdev Saini Dhaba,4.0,"Saba Appartment, Main Dadri Road, Noida Sector 44, Noida - 201303, Near Village Chhelera, Near Sheetal Petrol Pump",'+(91)-9213268190
480,Asharam Foods,4.3,"Shop Number-755, Chandni Chowk, Delhi - 110006, Near Katra Asharfi, Opposite Townhall",'+(91)-11-41523612
481,Bikano Point,3.9,"Shop No-C-9/32, Rohini Sector 15, Delhi - 110089, Near Manav Chowk",'+(91)-8447828002
482,Aggarwal Sweets Corner,4.1,"3/33, Double Storey, Shivaji Marg, Tilak Nagar, Delhi - 110018, Opposite Metro Station Gate No 2",'+(91)-011-45601816
483,Sugandh Vegetarian Restaura..,4.2,"4702/21, Ansari Road, Darya Ganj, Delhi - 110002, Near HDFC Bank",'+(91)-11-23273578
484,Mainis Green Leaf,4.0,"201-202 , Second Floor , Unity One Mall , CBD Ground, Shahdara, Delhi - 110032",'+(91)-011-66992588
485,Rasam Kitchen Restaurant,3.7,"D 33, Shyam Park Extension, Sahibabad - 201005, Near Diwakar Model School",'+(91)-120-71565154
486,Wah Ji Wah Restaurant,3.5,"B-23, New Krishna Park, Vikaspuri, Delhi - 110018, Near Janakpuri West Metro Station",'+(91)-011-66992211
487,Cue Restaurant,4.2,"131, 1st Floor Mangalam Paradise Mall, Rohini Sector 3, Delhi - 110085, Near Kali Mata Mandir Deepali Chaowk",'+(91)-7678344864
488,Shree Ram Palace,3.9,"Shop Number-7,, K Pocket, Sheikh Sarai 2, Delhi - 110017, Near Nera Transport Authority,Lsc Market",'+(91)-011-29250303
489,Gopalaa Restaurant,3.8,"Shop Number- F- 24/69, Main Sector 6 & 7 Dividing Road, Rohini Sector 7, Delhi - 110085, Near Ayodhya Chowk",'+(91)-8459756336
490,PCC - Punjabi Chaap Corner,3.2,"9, Community Center, Ashok Vihar Phase 2, Gurgaon - 122006, Opposite Satyawati College",'+(91)-11-65475557
491,Madras Cafe,4.0,"Shop Number-15-B/5, DDA MARKET, Rohini Sector 8, Delhi - 110085, Near Prestige Convent School",'+(91)-011-66103950
492,Punjabi Jaika,3.9,"C- 57, Central Market, Lajpat Nagar 2, Delhi - 110024, Near Lava Care",'+(91)-011-29813040
493,Chimney Pure Veg,3.8,"JF 847, Gtb Enclave, Delhi - 110093, Near GTB Hospital, Dilshad Garden",'+(91)-9582440888
494,Kiara Soul Kitchen,4.3,"M-30 1st Floor, Greater Kailash 2, Delhi - 110048, M Block Main Market",'+(91)-11-40367904
495,Mota Ram De Chatpate,3.4,"Plot 79,, Pocket 10, Rohini Sector 20, Delhi - 110086, Sunday Bazar Road Royal Market",'+(91)-9211925664
496,Dawat Restaurant,4.0,"C-2/9, Prashant Vihar, Delhi - 110085",'+(91)-011-41447262
497,Pappu Di Hatti,3.6,"Shop No-C-2/11 12 13 14, Mangolpuri, Delhi - 110083, Dda Market",'+(91)-9971362165
498,Vaango,3.6,"1St Floor,Cyber Hub,Food Court, Dlf Cyber City, Gurgaon - 122002",'+(91)-124-4945923
499,Jhil Mil Food Point,3.8,"Shop Number RZA-6, Palam Dabri Road, Dabri Extension, Delhi - 110045, Opposite Dada Dev Hospital",'+(91)-11-47023654
